"","Keyword","Context"
"1","wild","However, little is known about how changes in the bacterial community may be involved in the manipulation of induced defenses in wild and cultivated Solanum plants of CPB. "
"2","wild","Here, we examined suppression of JA-mediated defense in wild and cultivated hosts of CPB by chemical elicitors and their symbiotic bacteria. "
"3","wild","In wild and cultivated Solanum species, JA is known to induce defensive secondary metabolites and proteins10–12. "
"4","wild","In this study, we hypothesized that the gut symbiotic bacteria of CPB varies by host plant and that the symbionts differentially suppress induced defenses in wild and cultivated Solanum host plants. "
"5","wild","To investigate whether wild and cultivated Solanum plants displayed antagonistic interactions between JA and SA, we sprayed MeJA, SA or both chemical elicitors on plants and measured PPO activity 48 h after treatment. "
"6","wild","CPB larvae can successfully use wild and cultivated Solanum plants in their natural environment. "
"7","wild","However, little is known about crosstalk between JA and SA in wild and cultivated Solanum plants. "
"8","wild","It is possible that the association of defense-suppressing bacteria with CPBs helped them adapt to a diverse range of Solanum host plants in wild and agricultural systems. "
"9","wild","To our knowledge this is the first study to investigate the effect of negative crosstalk between JA and SA on induced defenses and resistance in wild Solanum host plants to CPB. "
"10","wild","We demonstrated that antagonistic interactions between JA and SA occurs in wild hosts of CPB and that bacteria associated with CPB larvae are also capable of suppressing defenses in these wild hosts. "
"11","fitness","Antagonistic interactions between JA and SA are often involved in fine-tuning plant defenses and reducing the fitness costs associated with inducible defenses2. "
"12","adaptation","Herbivore-associated bacteria could have played a role in adaptation to new hosts and host range expansion20,33,54. "
"13","adaptation","Host plant adaptations among geographic populations of the Colorado potato beetle. "
"14","adaptation","Gut bacteria facilitate adaptation to crop rotation in the western corn rootworm. "
